DRG Severity,N Hospitals,Avg Submitted Charges ($),Avg Total Payment ($),Avg Medicare Payment ($),Charge-to-Payment Ratio,Avg Non-Medicare Gap ($),Total Discharges
Major (MCC),2587,56494.88,12050.40,10022.34,5.70,2028.06,66500540
Moderate (CC),294,41316.71,9532.69,7089.06,6.13,2443.63,110893
